Number_Input_reads	Number_Uniquely_Mapped	Percent_Uniquely_Mapped	Number_Mapped_multiLoci	Percent_Mapped_multiLoci	Number_Mapped_manyLoci	Percent_Mapped_manyLoci	Number_Reads_unmapped.short	Percent_reads_unmapped.short	Number_reads_unmapped.other	Percent_reads_unmapped.other
SRR7356426	17617498	15762609	89.47%	521757	2.96%	72370	0.41%	1247167	7.08%	13595	0.08%
SRR7356427	16426014	14431961	87.86%	565314	3.44%	68343	0.42%	1348018	8.21%	12378	0.08%
SRR7356428	12336717	10910768	88.44%	332294	2.69%	40509	0.33%	1037506	8.41%	15640	0.13%
SRR7356429	15744004	14001176	88.93%	439276	2.79%	59119	0.38%	1223090	7.77%	21343	0.14%
SRR7356430	14979057	13453671	89.82%	413928	2.76%	47752	0.32%	1053844	7.04%	9862	0.07%
SRR7356431	16929236	15093025	89.15%	501917	2.96%	65017	0.38%	1256674	7.42%	12603	0.07%
SRR7356432	8681677	7738800	89.14%	238708	2.75%	23444	0.27%	675639	7.78%	5086	0.06%
SRR7356433	16690336	14910853	89.34%	546501	3.27%	90114	0.54%	1126733	6.75%	16135	0.10%
SRR7356434	11592560	10210526	88.08%	336113	2.90%	51372	0.44%	977130	8.43%	17419	0.15%
SRR7356435	17678133	15942162	90.18%	574179	3.25%	55840	0.32%	1095345	6.20%	10607	0.06%
SRR7356436	16710125	14736277	88.19%	594947	3.56%	66459	0.40%	1306288	7.82%	6154	0.04%
SRR7356437	17781714	16060299	90.32%	494753	2.78%	76235	0.43%	1143875	6.43%	6552	0.04%
SRR7356438	25598951	22648849	88.48%	867219	3.39%	122099	0.48%	1939376	7.58%	21408	0.08%
SRR7356439	17162253	15061782	87.76%	607657	3.54%	76425	0.45%	1409736	8.21%	6653	0.04%
SRR7356440	22502594	19752307	87.78%	832970	3.70%	73093	0.32%	1836440	8.16%	7784	0.03%
SRR7356441	17201269	15126917	87.94%	606560	3.53%	61902	0.36%	1394777	8.11%	11113	0.06%
SRR7356442	20437975	18009328	88.12%	668133	3.27%	147538	0.72%	1603113	7.84%	9863	0.05%
SRR7356443	22805782	19992834	87.67%	792753	3.48%	130317	0.57%	1880293	8.24%	9585	0.04%
SRR7356444	17392808	15169252	87.22%	659209	3.79%	86581	0.50%	1471210	8.46%	6556	0.04%
SRR7356445	2024533	1776771	87.76%	72319	3.57%	9122	0.45%	165525	8.18%	796	0.04%
SRR7356446	16636765	14645445	88.03%	474306	2.85%	94135	0.57%	1415036	8.51%	7843	0.05%
SRR7356447	15036148	13205419	87.82%	486377	3.23%	83195	0.55%	1255080	8.35%	6077	0.04%
SRR7356448	14157271	12381978	87.46%	447312	3.16%	80495	0.57%	1241264	8.77%	6222	0.04%
SRR7356449	18696872	16653279	89.07%	597791	3.20%	99098	0.53%	1339246	7.16%	7458	0.04%
SRR7356450	16880616	14827076	87.83%	634350	3.76%	72650	0.43%	1339871	7.94%	6669	0.04%
SRR7356451	16867733	14738710	87.38%	581226	3.45%	92312	0.55%	1448613	8.59%	6872	0.04%
SRR7356452	18185794	16063290	88.33%	601938	3.31%	94091	0.52%	1419252	7.80%	7223	0.04%
SRR7356453	13305756	11816854	88.81%	447731	3.36%	56266	0.42%	979280	7.36%	5625	0.04%
SRR7356454	20264615	17712946	87.41%	640194	3.16%	128332	0.63%	1774513	8.76%	8630	0.04%
SRR7356455	14945668	12939222	86.58%	506423	3.39%	68193	0.46%	1426137	9.54%	5693	0.04%
SRR7356456	16408876	14312740	87.23%	500371	3.05%	386067	2.35%	1143081	6.97%	66617	0.41%
SRR7356457	2445697	2200052	89.96%	69588	2.85%	10521	0.43%	163520	6.69%	2016	0.08%
SRR7356458	1232272	1077711	87.46%	36773	2.98%	6055	0.49%	111218	9.03%	515	0.04%
SRR7356459	19943495	17397385	87.23%	643479	3.23%	113361	0.57%	1780465	8.93%	8805	0.04%
SRR7356460	15174606	13655328	89.99%	395961	2.61%	70434	0.46%	1029738	6.79%	23145	0.15%
SRR7356461	10188321	9008866	88.42%	276798	2.72%	36791	0.36%	853346	8.38%	12520	0.12%
SRR7356462	15052896	13428536	89.21%	418259	2.78%	57037	0.38%	1128361	7.50%	20703	0.14%
SRR7356463	14483549	12938695	89.33%	383839	2.65%	83621	0.58%	1050012	7.25%	27382	0.19%
SRR7356464	12582478	11019739	87.58%	420631	3.34%	38094	0.30%	1099384	8.74%	4630	0.04%
SRR7356465	16576901	14500253	87.47%	585868	3.53%	67934	0.41%	1416058	8.54%	6788	0.04%
SRR7356466	15642106	13817963	88.34%	509331	3.26%	76270	0.49%	1225478	7.83%	13064	0.08%
SRR7356467	17047041	15164184	88.95%	564934	3.31%	113328	0.66%	1186347	6.96%	18248	0.11%
SRR7356468	16080124	14142561	87.95%	489171	3.04%	76338	0.47%	1359195	8.45%	12859	0.08%
SRR7356469	14884161	13118135	88.13%	529012	3.55%	59660	0.40%	1167580	7.84%	9774	0.07%
SRR7356470	14779285	13030822	88.17%	506383	3.43%	82130	0.56%	1154300	7.81%	5650	0.04%
SRR7356471	14183453	12424462	87.60%	496295	3.50%	80949	0.57%	1175612	8.29%	6135	0.04%
SRR7356472	27354374	24143607	88.26%	929693	3.40%	106328	0.39%	2154703	7.88%	20043	0.07%
SRR7356473	16322630	14148087	86.68%	647687	3.97%	74252	0.45%	1440720	8.83%	11884	0.07%
