Input_Read_Pairs	Pairs_Reads	Pairs_Read_Percent	Forward_Only_Surviving_Reads	Forward_Only_Surviving_Read_Percent	Reverse_Only_Surviving_Reads	Reverse_Only_Surviving_Read_Percent	Dropped_Reads	Dropped_Read_Percent
SRR10231609	16696000	14203178	85.07	1423006	8.52	573149	3.43	496667	2.97
SRR10231610	57019604	44545133	78.12	7400048	12.98	1795331	3.15	3279092	5.75
SRR10231611	55464104	43751153	78.88	6989580	12.6	1720766	3.1	3002605	5.41
SRR10231612	1936000	1607342	83.02	214248	11.07	51855	2.68	62555	3.23
SRR10231613	50772309	42924215	84.54	4789809	9.43	1544939	3.04	1513346	2.98
SRR10231614	32545784	26562598	81.62	3590164	11.03	1092389	3.36	1300633	4
SRR10231615	50034875	39787172	79.52	6098525	12.19	1494605	2.99	2654573	5.31
SRR10231616	50204713	38977108	77.64	6595753	13.14	1630658	3.25	3001194	5.98
SRR10231617	53127355	42943504	80.83	5977956	11.25	1540444	2.9	2665451	5.02
SRR10231618	39711818	28072607	70.69	6037263	15.2	1335196	3.36	4266752	10.74
SRR10231619	24901000	19748918	79.31	2959382	11.88	822202	3.3	1370498	5.5
