Number_Input_reads	Number_Uniquely_Mapped	Percent_Uniquely_Mapped	Number_Mapped_multiLoci	Percent_Mapped_multiLoci	Number_Mapped_manyLoci	Percent_Mapped_manyLoci	Number_Reads_unmapped.short	Percent_reads_unmapped.short	Number_reads_unmapped.other	Percent_reads_unmapped.other
SRR10231609	14203178	13141225	92.52%	255010	1.80%	60094	0.42%	736023	5.18%	10826	0.08%
SRR10231610	44545133	40318483	90.51%	735116	1.65%	692931	1.56%	2667671	5.99%	130932	0.29%
SRR10231611	43751153	40144804	91.76%	876509	2.00%	139169	0.32%	2550032	5.83%	40639	0.09%
SRR10231612	1607342	1455774	90.57%	39223	2.44%	6453	0.40%	104534	6.50%	1358	0.08%
SRR10231613	42924215	38023871	88.58%	1135146	2.64%	268668	0.63%	3449438	8.04%	47092	0.11%
SRR10231614	26562598	23285932	87.66%	563872	2.12%	64066	0.24%	2633734	9.92%	14994	0.06%
SRR10231615	39787172	35839209	90.08%	838976	2.11%	175618	0.44%	2882700	7.25%	50669	0.13%
SRR10231616	38977108	34586887	88.74%	798400	2.05%	110717	0.28%	3443665	8.84%	37439	0.10%
SRR10231617	42943504	39991192	93.13%	726569	1.69%	170558	0.40%	2003374	4.67%	51811	0.12%
SRR10231618	28072607	24701278	87.99%	580900	2.07%	202452	0.72%	2528549	9.01%	59428	0.21%
SRR10231619	19748918	18107032	91.69%	323420	1.64%	50851	0.26%	1251672	6.34%	15943	0.08%
